10,Tinobu,Lasolo - Konaweha,DAS Tinobu,1,11,741000002,Konawe Utara,Lasolo,Tinobu / Basule,Revetment,-,?,?,-,?,-,Pusat,Revetment,Lokal,,"2008-2009,2014",2014,BWS Sulawesi IV Kendari,319,3,"0,7 m","4,8 m","0,7 m",3:01,1:01,Kaku,Pasang Batu,-,-,-,Baik,Baik,-,-,-,-,Baik,x,?, -3.658850°,122.243200°,,,,,,,,,,,,
11,Tanjung Bunga,Lasolo - Konaweha,DAS Otipulu,1,11,741000003,Konawe Utara,Lasolo,Wawolesea / Tanjung Bunga,Tanggul Laut,-,?,?,-,-,-,Pusat,Krib,Lokal,,2012,2013,BWS Sulawesi IV Kendari,440,3,1 m ,5 m,8 m,1:03,1:02,Timbunan,Pasang Batu,Baik,-,-,Baik,-,-,-,Sedang,-,Baik,?,x,-3.724515,122.32436,,,,,,,,,,,,
12,Kasipute,Poleang - Roraya,DAS Kasipute,1,11,740600001,Bombana,Rumbia Tengah,Kampung Tengah,Pemecah Gelombang,-,-,-,-,?,-,Provinsi,Revetment,Lokal,,2014,2014,BWS Sulawesi IV Kendari,805,3,,,,,,Kaku,Pasang Batu,Baik,-,-,Baik,-,-,-,-,-,Baik,x,?, -4.771725°,122.049872°,,,,,,,,,,,,
13,Watubangga,Towari - Lasusua,DAS Wolulu,1,11,740400001,Kolaka,Watubangga,Wolulu,Revetment,-,?,-,-,?,-,Pusat,Revetment,Lokal,,2014,2014,BWS Sulawesi IV Kendari,857,3,"1,3 m","2,5 m",1 m,1:02,1:02,Kaku,Pasang Batu,Baik,-,Sedang,Baik,Baik,-,-,-,-,Baik,x,?, -4.445275°,121.515342°,,,,,,,,,,,,
14,Tamboli,Towari - Lasusua,DAS Tamboli,1,11,740400002,Kolaka,Samaturu,Ulaweng,Revetment,-,?,-,-,?,-,Pusat,Revetment,Lokal,,2012,2012,BWS Sulawesi IV Kendari,616,3,1 m ,"0,6 m","0,5 m",1:02,1:01,Kaku,Pasang Batu,Baik,Baik,Baik,Baik,Baik,Baik,Sedang,-,-,Baik,?,x,-3.945867°,121.320137°,,,,,,,,,,,,
15,Donggala,Towari - Lasusua,DAS Langgomali,1,11,740400003,Kolaka,Wolo,Donggala,Pemecah Gelombang,-,-,-,-,?,-,Pusat,Pemecah Gelombang,Lokal,,2011.2015,2011.2015,BWS Sulawesi IV Kendari,300,3,3 m,5 m,8 m,1:02,1:02,Rubble,Batu dan Pasir,Baik,-,Baik,Baik,Baik,-,-,-,-,Baik,?,x,-3.921111,121.315194,,,,,,,,,,,,
16,Babarina,Towari - Lasusua,DAS Tamboli,1,11,740400004,Kolaka,Wolo,Muara Lapao pao,Revetment,-,?,-,-,?,-,Pusat,Revetment,Lokal,,"200,920,112,014",2014,BWS Sulawesi IV Kendari,559.7,3,"0,97 m","0,8 m",1 m,1:02,1:01,Kaku, Buis Beton,Baik,-,-,Baik,-,-,-,-,-,Baik,?,x,-3.910667,121.312333,,,,,,,,,,,,
17,Kolaka,Towari - Lasusua,DAS Balandete,1,11,740400005,Kolaka,Watubangga,Wolulu,Revetment,-,?,-,-,?,-,Pusat,Revetment,Lokal,,2014,2014,BWS Sulawesi IV Kendari,390,3,"0,6 m",1 m,"0,5 m",2:03,1:01,Kaku,Pasang Batu,Baik,-,Baik,Baik,-,-,-,-,-,Baik,x,?,-4.05375,121.58775,,,,,,,,,,,,
18,Wowatamboli,Towari - Lasusua,DAS Langgomali,1,11,740400006,Kolaka,Tamboli,Wawo,Revetment,-,?,?,-,?,?,Pusat,Revetment,Lokal,,2015,2015,BWS Sulawesi IV Kendari,396,3,1 m ,"0,8 m",1 m,1:02,1:01,Kaku,Pasang Batu,Baik,-,Baik,Baik,Baik,-,-,-,-,Baik,x,x, -3.934536°,121.317416°,,,,,,,,,,,,
19,Lamundre,Towari - Lasusua,DAS Towari,1,11,740600002,Bombana,Watubangga,Lamundre,Revetment,-,?,?,-,?,?,Pusat,Revetment,Lokal,,2015,2015,BWS Sulawesi IV Kendari,283,3,"1,25 m",3 m,"1,3 m",1:02,1:01,Kaku,Pasang Batu,Baik,-,Baik,Baik,Baik,-,-,-,-,Baik,x,?, -4.517209°,121.491146°,,,,,,,,,,,,
20,Tamborasi,Towari - Lasusua,DAS Tamborasi,1,11,740800001,Kolaka Utara,Wawo,Walasiho,Revetment,-,?,-,-,?,-,Pusat,Revetment,Lokal,,"2013, 2015",2015,BWS Sulawesi IV Kendari,559,3,"0,612 m","1,7 m","0,9 m",1:01,1:01,Kaku, Buis Beton,Baik,-,Baik,Baik,Baik,Baik,-,-,-,Baik,?,x,-3.699168,121.054878,,,,,,,,,,,,
21,Raha,Muna,DAS Motewe,1,11,740200003,Muna,Duruka,Uwabahara,Revetment,-,?,?,-,?,?,Pusat,Revetment,Lokal,,2017,2017,BWS Sulawesi IV Kendari,174,3.5,4.27,"2,97 m","1,15 m",1:01,1:01,Kaku,Blok Hexagon,Baik,-,-,Baik,Baik,-,-,-,-,Baik,x,?,-4.850008,122.726447,,,,,,,,,,,,
23,Wawonii,Poleang - Roraya,DAS Beau,1,11,741200001,Konawe Kep.,Dongkalaeya,Wawonii Utara,Revetment,-,?,?,-,?,?,Pusat,Revetment,Lokal,,2017,2017,BWS Sulawesi IV Kendari,350,3.7,"0,612 m","3,18 m",1.25,1:25,1:01,Kaku, Buis Beton,Baik,-,-,Baik,Baik,Baik,-,-,-,Baik,x,?,-4.022053,123.086936,,,,,,,,,,,,
